REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024/01/01 00:05:00,6574.92,57.98,TRADE
NSW1,2024/01/01 00:10:00,6651.09,70.27,TRADE
NSW1,2024/01/01 00:15:00,6538.96,57.98,TRADE
NSW1,2024/01/01 00:20:00,6497.99,54.95,TRADE
NSW1,2024/01/01 00:25:00,6404.55,54.95,TRADE
NSW1,2024/01/01 00:30:00,6420.25,57.98,TRADE
NSW1,2024/01/01 00:35:00,6396.51,56.59,TRADE
NSW1,2024/01/01 00:40:00,6454.44,55.40,TRADE
NSW1,2024/01/01 00:45:00,6403.09,54.95,TRADE
NSW1,2024/01/01 00:50:00,6325.27,54.75,TRADE
NSW1,2024/01/01 00:55:00,6306.23,54.95,TRADE
NSW1,2024/01/01 01:00:00,6258.5,49.62,TRADE
NSW1,2024/01/01 01:05:00,6220.81,40.89,TRADE
NSW1,2024/01/01 01:10:00,6280.45,49.62,TRADE
NSW1,2024/01/01 01:15:00,6254.45,48.52,TRADE
NSW1,2024/01/01 01:20:00,6136.88,48.90,TRADE
NSW1,2024/01/01 01:25:00,6098.13,48.92,TRADE
NSW1,2024/01/01 01:30:00,6125.06,50.37,TRADE
NSW1,2024/01/01 01:35:00,6122.52,54.95,TRADE
NSW1,2024/01/01 01:40:00,6092.97,50.72,TRADE
NSW1,2024/01/01 01:45:00,6022.07,40.36,TRADE
NSW1,2024/01/01 01:50:00,5991.08,41.63,TRADE
NSW1,2024/01/01 01:55:00,5997.05,36.06,TRADE
NSW1,2024/01/01 02:00:00,5973.67,41.41,TRADE
NSW1,2024/01/01 02:05:00,5993.43,43.68,TRADE
NSW1,2024/01/01 02:10:00,5959.67,45.17,TRADE
NSW1,2024/01/01 02:15:00,5943.11,49.75,TRADE
NSW1,2024/01/01 02:20:00,5983.82,50.40,TRADE
NSW1,2024/01/01 02:25:00,5887,49.81,TRADE
NSW1,2024/01/01 02:30:00,5968.17,50.76,TRADE
NSW1,2024/01/01 02:35:00,5905.08,52.25,TRADE
NSW1,2024/01/01 02:40:00,5927.68,54.95,TRADE
NSW1,2024/01/01 02:45:00,5924.74,54.83,TRADE
NSW1,2024/01/01 02:50:00,5880.77,52.19,TRADE
NSW1,2024/01/01 02:55:00,5821.02,50.81,TRADE
NSW1,2024/01/01 03:00:00,5836.23,40.57,TRADE
NSW1,2024/01/01 03:05:00,5820.65,45.62,TRADE
NSW1,2024/01/01 03:10:00,5877.99,46.19,TRADE
NSW1,2024/01/01 03:15:00,5824.01,45.90,TRADE
NSW1,2024/01/01 03:20:00,5824.9,50.84,TRADE
NSW1,2024/01/01 03:25:00,5791.32,46.22,TRADE
NSW1,2024/01/01 03:30:00,5845.67,51.18,TRADE
NSW1,2024/01/01 03:35:00,5801.73,51.54,TRADE
NSW1,2024/01/01 03:40:00,5842.17,51.53,TRADE
NSW1,2024/01/01 03:45:00,5792.25,45.94,TRADE
NSW1,2024/01/01 03:50:00,5810.83,50.59,TRADE
NSW1,2024/01/01 03:55:00,5794.42,50.44,TRADE
NSW1,2024/01/01 04:00:00,5782.77,54.95,TRADE
NSW1,2024/01/01 04:05:00,5777.99,50.44,TRADE
NSW1,2024/01/01 04:10:00,5818,39.37,TRADE
NSW1,2024/01/01 04:15:00,5835.05,39.45,TRADE
NSW1,2024/01/01 04:20:00,5829.75,38.44,TRADE
NSW1,2024/01/01 04:25:00,5837.35,45.07,TRADE
NSW1,2024/01/01 04:30:00,5861.89,45.33,TRADE
NSW1,2024/01/01 04:35:00,5836.62,38.78,TRADE
NSW1,2024/01/01 04:40:00,5854.51,38.15,TRADE
NSW1,2024/01/01 04:45:00,5850.46,36.06,TRADE
NSW1,2024/01/01 04:50:00,5850.4,36.06,TRADE
NSW1,2024/01/01 04:55:00,5834,36.06,TRADE
NSW1,2024/01/01 05:00:00,5862.44,36.06,TRADE
NSW1,2024/01/01 05:05:00,5832.15,39.06,TRADE
NSW1,2024/01/01 05:10:00,5879.16,39.45,TRADE
NSW1,2024/01/01 05:15:00,5836.03,35.88,TRADE
NSW1,2024/01/01 05:20:00,5824.12,35.88,TRADE
NSW1,2024/01/01 05:25:00,5823.16,35.88,TRADE
NSW1,2024/01/01 05:30:00,5845.7,35.88,TRADE
NSW1,2024/01/01 05:35:00,5825.96,35.88,TRADE
NSW1,2024/01/01 05:40:00,5836.76,35.88,TRADE
NSW1,2024/01/01 05:45:00,5835.29,32.07,TRADE
NSW1,2024/01/01 05:50:00,5787.16,20.90,TRADE
NSW1,2024/01/01 05:55:00,5693.88,9.87,TRADE
NSW1,2024/01/01 06:00:00,5738.22,9.61,TRADE
NSW1,2024/01/01 06:05:00,5687.57,9.69,TRADE
NSW1,2024/01/01 06:10:00,5684.44,9.68,TRADE
NSW1,2024/01/01 06:15:00,5714.03,9.64,TRADE
NSW1,2024/01/01 06:20:00,5660.9,0,TRADE
NSW1,2024/01/01 06:25:00,5692.92,-21.07,TRADE
NSW1,2024/01/01 06:30:00,5667.26,-21.29,TRADE
NSW1,2024/01/01 06:35:00,5688.86,-8.85,TRADE
NSW1,2024/01/01 06:40:00,5681.67,0,TRADE
NSW1,2024/01/01 06:45:00,5746.67,9.71,TRADE
NSW1,2024/01/01 06:50:00,5726.98,17.18,TRADE
NSW1,2024/01/01 06:55:00,5691.2,32.11,TRADE
NSW1,2024/01/01 07:00:00,5700.17,54.95,TRADE
NSW1,2024/01/01 07:05:00,5683.3,54.95,TRADE
NSW1,2024/01/01 07:10:00,5731.1,47.32,TRADE
NSW1,2024/01/01 07:15:00,5694.06,48.25,TRADE
NSW1,2024/01/01 07:20:00,5748.78,18.36,TRADE
NSW1,2024/01/01 07:25:00,5583.31,33.47,TRADE
NSW1,2024/01/01 07:30:00,5625.32,18.13,TRADE
NSW1,2024/01/01 07:35:00,5614.92,34.12,TRADE
NSW1,2024/01/01 07:40:00,5612.12,-1.95,TRADE
NSW1,2024/01/01 07:45:00,5601.83,-9.98,TRADE
NSW1,2024/01/01 07:50:00,5570.22,0,TRADE
NSW1,2024/01/01 07:55:00,5624.52,0,TRADE
NSW1,2024/01/01 08:00:00,5646.99,0,TRADE
NSW1,2024/01/01 08:05:00,5702.67,0,TRADE
NSW1,2024/01/01 08:10:00,5889.93,57.95,TRADE
