REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/01/01 00:05:00,6713.88,71.24,TRADE
NSW1,2026/01/01 00:10:00,6751.48,65.31,TRADE
NSW1,2026/01/01 00:15:00,6715.71,69.28,TRADE
NSW1,2026/01/01 00:20:00,6659.29,58.40,TRADE
NSW1,2026/01/01 00:25:00,6628.9,57.30,TRADE
NSW1,2026/01/01 00:30:00,6563.61,57.06,TRADE
NSW1,2026/01/01 00:35:00,6504.64,56.98,TRADE
NSW1,2026/01/01 00:40:00,6456.5,57.06,TRADE
NSW1,2026/01/01 00:45:00,6409.39,56.98,TRADE
NSW1,2026/01/01 00:50:00,6381.16,57.06,TRADE
NSW1,2026/01/01 00:55:00,6346.31,59.23,TRADE
NSW1,2026/01/01 01:00:00,6382.95,57.06,TRADE
NSW1,2026/01/01 01:05:00,6294.6,58.18,TRADE
NSW1,2026/01/01 01:10:00,6328,58.24,TRADE
NSW1,2026/01/01 01:15:00,6302.76,58.19,TRADE
NSW1,2026/01/01 01:20:00,6264.45,56.94,TRADE
NSW1,2026/01/01 01:25:00,6223.99,56.98,TRADE
NSW1,2026/01/01 01:30:00,6217.73,56.98,TRADE
NSW1,2026/01/01 01:35:00,6226.31,68.91,TRADE
NSW1,2026/01/01 01:40:00,6168.5,57.06,TRADE
NSW1,2026/01/01 01:45:00,6140.44,57.64,TRADE
NSW1,2026/01/01 01:50:00,6146.29,58.11,TRADE
NSW1,2026/01/01 01:55:00,6136.18,69.39,TRADE
NSW1,2026/01/01 02:00:00,6089.41,57.79,TRADE
NSW1,2026/01/01 02:05:00,6089.53,58.17,TRADE
NSW1,2026/01/01 02:10:00,6074.98,58.14,TRADE
NSW1,2026/01/01 02:15:00,6042.92,40.54,TRADE
NSW1,2026/01/01 02:20:00,6011.13,56.94,TRADE
NSW1,2026/01/01 02:25:00,5966.18,56.98,TRADE
NSW1,2026/01/01 02:30:00,5993.4,56.98,TRADE
NSW1,2026/01/01 02:35:00,5976.97,57.06,TRADE
NSW1,2026/01/01 02:40:00,5948.59,56.98,TRADE
NSW1,2026/01/01 02:45:00,5954.12,57.06,TRADE
NSW1,2026/01/01 02:50:00,5956.2,57.06,TRADE
NSW1,2026/01/01 02:55:00,5913.85,56.98,TRADE
NSW1,2026/01/01 03:00:00,5874.76,56.98,TRADE
NSW1,2026/01/01 03:05:00,5864.29,56.98,TRADE
NSW1,2026/01/01 03:10:00,5877.55,56.98,TRADE
NSW1,2026/01/01 03:15:00,5883.23,56.98,TRADE
NSW1,2026/01/01 03:20:00,5805.06,56.73,TRADE
NSW1,2026/01/01 03:25:00,5799.63,52.08,TRADE
NSW1,2026/01/01 03:30:00,5820.85,52.38,TRADE
NSW1,2026/01/01 03:35:00,5792.67,52.07,TRADE
NSW1,2026/01/01 03:40:00,5781.98,52.08,TRADE
NSW1,2026/01/01 03:45:00,5798.47,52.04,TRADE
NSW1,2026/01/01 03:50:00,5812.41,52.13,TRADE
NSW1,2026/01/01 03:55:00,5833.32,52.47,TRADE
NSW1,2026/01/01 04:00:00,5792.73,52.14,TRADE
NSW1,2026/01/01 04:05:00,5791.39,52.79,TRADE
NSW1,2026/01/01 04:10:00,5799.63,56.88,TRADE
NSW1,2026/01/01 04:15:00,5807.54,56.85,TRADE
NSW1,2026/01/01 04:20:00,5800.04,56.94,TRADE
NSW1,2026/01/01 04:25:00,5783.57,56.94,TRADE
NSW1,2026/01/01 04:30:00,5858.12,59.45,TRADE
NSW1,2026/01/01 04:35:00,5868.98,56.98,TRADE
NSW1,2026/01/01 04:40:00,5868.26,56.98,TRADE
NSW1,2026/01/01 04:45:00,5881.29,56.98,TRADE
NSW1,2026/01/01 04:50:00,5888.54,59.12,TRADE
NSW1,2026/01/01 04:55:00,5873.43,57.06,TRADE
NSW1,2026/01/01 05:00:00,5862.18,57.06,TRADE
NSW1,2026/01/01 05:05:00,5893.97,57.06,TRADE
NSW1,2026/01/01 05:10:00,5817.43,57.06,TRADE
NSW1,2026/01/01 05:15:00,5821.24,57.06,TRADE
NSW1,2026/01/01 05:20:00,5836.13,57.08,TRADE
NSW1,2026/01/01 05:25:00,5824.46,55.54,TRADE
NSW1,2026/01/01 05:30:00,5860.68,55.55,TRADE
NSW1,2026/01/01 05:35:00,5768.76,50.07,TRADE
NSW1,2026/01/01 05:40:00,5773,48.04,TRADE
NSW1,2026/01/01 05:45:00,5796.3,18.41,TRADE
NSW1,2026/01/01 05:50:00,5806.8,0,TRADE
NSW1,2026/01/01 05:55:00,5835.74,0,TRADE
NSW1,2026/01/01 06:00:00,5755.35,-6,TRADE
NSW1,2026/01/01 06:05:00,5788.53,-6,TRADE
NSW1,2026/01/01 06:10:00,5764.45,-5.51,TRADE
NSW1,2026/01/01 06:15:00,5752.03,-1.77,TRADE
NSW1,2026/01/01 06:20:00,5652.48,-7,TRADE
NSW1,2026/01/01 06:25:00,5686.34,-8.67,TRADE
NSW1,2026/01/01 06:30:00,5691.99,-9.99,TRADE
NSW1,2026/01/01 06:35:00,5667.05,-9.14,TRADE
NSW1,2026/01/01 06:40:00,5593.41,-9.99,TRADE
